"","Resp_RR","Resp_DET","Resp_NRLINE","Resp_maxL","Resp_L","Resp_ENTR","Resp_rENTR","Resp_LAM","Resp_TT","HR_RR","HR_DET","HR_NRLINE","HR_maxL","HR_L","HR_ENTR","HR_rENTR","HR_LAM","HR_TT","condition","group1","group2"
"1",3.70680044593088,84.1403921325949,41849,42,3.89877894334393,1.79920745110831,0.506056627928176,91.5952432521633,4.25244206090787,2.88381890596321,94.6300160025928,12973,105,10.8030524936406,2.98285440815488,0.667916654105617,97.6374231099047,11.580203411548,"TurnTaking","G3","G5"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Synchronous","G3","G6"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conversation","G3","G7"
"4",4.50754564995363,88.3693095295937,30712,56,4.85608231310237,2.09637616622181,0.538662118402421,90.3062766266317,4.99505112742527,3.47065803261305,94.2566079295154,13097,100,9.14858364510957,2.53505453104874,0.632603882400081,98.7578665827564,13.5617370638436,"TurnTaking","G4","G3"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Synchronous","G4","G3"
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conversation","G4","G9"
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TurnTaking","G1","G7"
"8",4.38811157034038,78.2461674493076,52260,37,3.75918484500574,1.7772704295954,0.495956756506246,81.3345122733229,4.22443111294994,4.75313169232969,97.7923234682115,17592,101,14.8536266484766,3.26397989035625,0.718416930174503,99.4086914866544,33.0419206368951,"Synchronous","G1","G8"
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conversation","G1","G3"
"10",4.0599945691245,88.8422420170696,37585,46,3.93002527604097,1.8442722673025,0.514653975317643,93.9961867184728,4.11109065081286,4.48096342534384,97.1145175834085,13386,64,13.0340654415061,3.23622907806578,0.781106406569688,98.6090238119093,14.514091430444,"TurnTaking","G5","G4"
"11",5.42665560228633,89.2365416512343,61085,51,4.53589260866006,2.05152322755579,0.535835826629534,95.2137715583182,6.26622014031667,3.31451261295412,97.1577309075297,17554,96,10.3129770992366,2.70614014107789,0.610754238763459,98.5853056405302,10.8361255309108,"Synchronous","G5","G7"
"12",4.17712399749443,86.3301827189008,53619,40,3.84807624163077,1.79508764292705,0.513394469015297,90.4289103392873,4.3879887927884,2.71070315589345,94.7331119656661,20124,48,7.17352415026834,2.25099586892382,0.58465183722412,96.9196645361122,7.91956673280069,"Conversation","G5","G9"
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TurnTaking","G6","G7"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Synchronous","G6","G9"
"15",4.2342402489905,84.5725206278971,55590,43,3.68578881093722,1.72778564739672,0.471613641119436,89.7704617594492,4.31246034263959,1.45752814880922,92.2062072079769,11500,76,6.56965217391304,2.22205987368035,0.552016331590281,96.1067649535619,7.0777458206004,"Conversation","G6","G9"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TurnTaking","G7","G6"
"17",3.51322378131948,77.7138108692039,35141,35,3.32662701687488,1.56253645714318,0.45502104815718,90.1572212065814,4.28726330098315,3.27403935675544,94.6148860715248,12682,98,10.2450717552437,2.90575508710276,0.663107582256631,97.6005476140195,11.2176096417811,"Synchronous","G7","G4"
"18",4.61364036755741,84.7255632119465,58128,56,3.8476465730801,1.79928765461965,0.51023927986362,90.8711743826167,4.43055299028481,2.4268536535862,93.6186587895535,15590,79,8.19262347658756,2.49154312872558,0.59048194785121,96.3028388392497,8.03627133157991,"Conversation","G7","G9"
"19",3.31864995917272,80.5047345193331,45044,34,3.39365953290116,1.57904610752816,0.459828768571346,91.9834423484059,4.09865302482752,3.39438252994099,94.6939524158893,17502,75,10.3242486572963,2.81078368842878,0.657237111854657,96.44586521329,10.5817617295308,"TurnTaking","G8","G1"
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Synchronous","G8","G6"
"21",4.02734239549893,76.8750732323342,50833,36,3.48482285129739,1.58880205834658,0.446876657606624,89.5660740091394,4.1982058949167,2.86314974577708,94.9284276448222,17170,92,8.89883517763541,2.62119584206433,0.612906354884536,96.7612266706429,8.46843564787124,"Conversation","G8","G9"
"22",2.98090112904928,75.1622418879056,36873,35,3.17869443766442,1.45502340967365,0.432104419432461,86.00487366936,3.95785870270908,7.13655656822805,97.1798397834676,29316,147,12.1492700231955,2.86129402435006,0.600837781972273,98.8461244624888,13.9777374797438,"TurnTaking","G9","G3"
"23",3.57878407400365,75.061289471885,46470,34,3.30751022164838,1.54691970367442,0.486750629867418,92.7028901282439,5.24984788981691,4.7698527885363,97.7269675994988,18221,103,14.3817024312606,3.34920842849947,0.735463102807403,99.2496569007697,14.3645490365413,"Synchronous","G9","G7"
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conversation","G9","G3"
