"","Resp_RR","Resp_DET","Resp_NRLINE","Resp_maxL","Resp_L","Resp_ENTR","Resp_rENTR","Resp_LAM","Resp_TT","HR_RR","HR_DET","HR_NRLINE","HR_maxL","HR_L","HR_ENTR","HR_rENTR","HR_LAM","HR_TT","Study","Group","Trial","Condition","Filename"
"1",3.29997968522036,6.66078327970124,3044,4,2.03318002628121,0.146499240857133,0.133349355699216,11.9106299170227,2.06396866840731,0.000437055137055028,NA,0,0,0,NA,NA,0,0,"Study1","G1","T3","SelfPaced","Study1_G1_T3_SelfPaced.csv"
"2",3.05334502428089,5.9408734455491,4452,4,2.03346810422282,0.147405119690622,0.134173922148028,7.09124913869475,2.02511244377811,0.000285867779209612,NA,0,0,0,NA,NA,0,0,"Study1","G2","T3","SelfPaced","Study1_G2_T3_SelfPaced.csv"
"3",2.64431987746523,5.22387469658515,3259,4,2.02730899048788,0.125981869797725,0.114673639733684,7.04871241411482,2.07084785133566,0.00138546784904624,NA,0,0,0,NA,NA,0,0,"Study1","G3","T2","TurnTaking","Study1_G3_T2_TurnTaking.csv"
"4",2.8439187291283,5.91295186672812,2656,4,2.02861445783133,0.130358796626258,0.118657690225091,6.97197164241347,2.04407979407979,0.000575197300662979,NA,0,0,0,NA,NA,0,0,"Study1","G4","T1","Synchronous","Study1_G4_T1_Synchronous.csv"
"5",2.74811421167106,5.40886434056311,1575,4,2.03936507936508,0.167127077732508,0.152125621983641,6.88569311599084,2.05787619526925,0.00200038007221372,NA,0,0,0,NA,NA,0,0,"Study1","G4","T2","SelfPaced","Study1_G4_T2_SelfPaced.csv"
"6",2.89708708184121,5.66939890710383,2369,4,2.03208104685521,0.14289669674828,0.130070178735684,6.40781043904277,2.03022388059701,0.000384685192872413,NA,0,0,0,NA,NA,0,0,"Study1","G4","T3","TurnTaking","Study1_G4_T3_TurnTaking.csv"
"7",2.75468814666503,5.3795982590379,4180,4,2.02846889952153,0.130039856835849,0.118367378716928,8.31652010608195,2.04684572142411,0.000391344804835456,NA,0,0,0,NA,NA,0,0,"Study2","G1","T1","Conversation","Study2_G10_T1_Conversation.csv"
"8",2.78555329358732,5.33818546869118,4199,4,2.02619671350321,0.121754290569851,0.110825531286801,7.03350483122098,2.05048472654106,0.000284614403516696,NA,0,0,0,NA,NA,0,0,"Study2","G1","T2","TurnTaking","Study2_G10_T2_TurnTaking.csv"
"9",3.20249493853536,6.30552948110633,5677,4,2.03522987493394,0.15364003582104,0.139849187384663,8.51361086249427,2.07584830339321,0.000302402803736489,NA,0,0,0,NA,NA,0,0,"Study2","G1","T3","Synchronous","Study2_G10_T3_Synchronous.csv"
"10",3.8112514121766,7.24777247359756,7763,5,2.03593971402808,0.156015088737437,0.112541097412676,13.517863775812,2.09167671893848,0.0585949903239997,NA,0,0,0,NA,NA,0,0,"Study2","G5","T1","Synchronous","Study2_G5_T1_Synchronous.csv"
"11",2.73044694690216,5.19116413936131,4003,4,2.02598051461404,0.121033658734934,0.110169583922703,7.15497321205681,2.03940886699507,0.00967688971956765,0.367647058823529,1,2,2,0,NA,0,NA,"Study2","G5","T2","TurnTaking","Study2_G5_T2_TurnTaking.csv"
"12",2.86421922014295,5.63274571182748,4552,4,2.02789982425308,0.128104296895667,0.116605556133886,6.33447440520866,2.05401662049861,0.000320191203956282,NA,0,0,0,NA,NA,0,0,"Study2","G5","T3","Conversation","Study2_G5_T3_Conversation.csv"
"13",2.91079657945661,5.57863893458864,4579,4,2.02904564315353,0.132132736255637,0.120272399661419,7.0238852929521,2.04510489510489,0.0008182664101105,NA,0,0,0,NA,NA,0,0,"Study2","G6","T1","TurnTaking","Study2_G6_T1_TurnTaking.csv"
"14",3.46927047795886,6.73551637279597,6562,4,2.03748857055776,0.161104689766762,0.146643808219254,10.7813602015113,2.06513557850043,1.77884002197935e-05,NA,0,0,0,NA,NA,0,0,"Study2","G6","T2","Conversation","Study2_G6_T2_Conversation.csv"
"15",3.37157162671558,6.55020475869576,6207,5,2.03576607056549,0.155405043428764,0.112101042741906,8.32253382406303,2.0758986294285,0.000320191203956282,NA,0,0,0,NA,NA,0,0,"Study2","G7","T1","Conversation","Study2_G7_T1_Conversation.csv"
"16",2.86280354805875,5.61660561660562,4541,4,2.02598546575644,0.120992478870621,0.110132100394858,8.71123321123321,2.07881701631702,0.000747112809231326,NA,0,0,0,NA,NA,0,0,"Study2","G7","T2","Synchronous","Study2_G7_T2_Synchronous.csv"
"17",2.78050231541034,5.50188257035282,4326,4,2.02334720295885,0.111325164009128,0.101332531191774,8.53536655121911,2.08426707597851,0.000640382407912565,NA,0,0,0,NA,NA,0,0,"Study2","G8","T1","TurnTaking","Study2_G8_T1_TurnTaking.csv"
"18",3.09770024943793,6.03136989392914,5258,4,2.03309243058197,0.146383964455884,0.133244426596895,8.73335590160235,2.09345415201515,0.00508748246286093,NA,0,0,0,NA,NA,0,0,"Study2","G8","T2","Synchronous","Study2_G8_T2_Synchronous.csv"
"19",3.13022575250836,6.0440756891363,5330,4,2.03095684803002,0.138911896527827,0.126443057264756,9.6297619778784,2.0493108365019,0.00172547482131997,NA,0,0,0,NA,NA,0,0,"Study2","G8","T3","Conversation","Study2_G8_T3_Conversation.csv"
"20",3.32941605798593,6.24835956283006,5849,4,2.035048726278,0.152696245571469,0.138990112477795,9.15442681812932,2.07656584901167,0.000622594007692772,NA,0,0,0,NA,NA,0,0,"Study2","G9","T1","Synchronous","Study2_G9_T1_Synchronous.csv"
"21",2.86511056923301,5.54742210184711,4478,4,2.03081732916481,0.138466813293998,0.126037925046211,8.98360295732377,2.06376121076233,0.000284614403516696,NA,0,0,0,NA,NA,0,0,"Study2","G9","T2","Conversation","Study2_G9_T2_Conversation.csv"
"22",2.8526142045391,5.52270903153471,4442,4,2.02926609635299,0.132920773906099,0.120989702442928,8.69517268421794,2.06850313365399,0.00040913320505525,NA,0,0,0,NA,NA,0,0,"Study2","G9","T3","TurnTaking","Study2_G9_T3_TurnTaking.csv"
